Model;Approach;Repetition;Stats;lastCandPrint
bluetooth_oneinit.pm(mrec=4);cautious1;4;Resets 2 ;stepsInResetRuns 954;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;5;Resets 0 ;stepsInResetRuns 0;init
bluetooth_oneinit.pm(mrec=4);cautious1;6;Resets 6 ;stepsInResetRuns 2990;Resets: 6 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;7;Resets 1 ;stepsInResetRuns 365;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;8;Resets 7 ;stepsInResetRuns 3835;Resets: 7 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;9;Resets 13 ;stepsInResetRuns 6249;Resets: 13 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;10;Resets 3 ;stepsInResetRuns 1703;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;11;Resets 2 ;stepsInResetRuns 1114;Resets: 2 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;12;Resets 4 ;stepsInResetRuns 1716;Resets: 4 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;13;Resets 3 ;stepsInResetRuns 1543;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;14;Resets 1 ;stepsInResetRuns 237;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;15;Resets 3 ;stepsInResetRuns 1703;Resets: 3 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;16;Resets 7 ;stepsInResetRuns 3867;Resets: 7 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;17;Resets 0 ;stepsInResetRuns 0;init
nand.pm(N=50,K=3);cautious1;1;Resets 9 ;stepsInResetRuns 12618;Resets: 9 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;18;Resets 5 ;stepsInResetRuns 2497;Resets: 5 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;19;Resets 6 ;stepsInResetRuns 3502;Resets: 6 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;0;Resets 10 ;stepsInResetRuns 14020;Resets: 10 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;2;Resets 10 ;stepsInResetRuns 14020;Resets: 10 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;3;Resets 6 ;stepsInResetRuns 8412;Resets: 6 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;4;Resets 0 ;stepsInResetRuns 0;init
nand.pm(N=50,K=3);cautious1;5;Resets 7 ;stepsInResetRuns 9814;Resets: 7 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;6;Resets 3 ;stepsInResetRuns 4206;Resets: 3 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;8;Resets 14 ;stepsInResetRuns 19628;Resets: 14 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;9;Resets 20 ;stepsInResetRuns 28040;Resets: 20 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;7;Resets 11 ;stepsInResetRuns 15422;Resets: 11 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;12;Resets 2 ;stepsInResetRuns 2804;Resets: 2 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;13;Resets 0 ;stepsInResetRuns 0;init
nand.pm(N=50,K=3);cautious1;19;Resets 4 ;stepsInResetRuns 5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;16;Resets 11 ;stepsInResetRuns 15422;Resets: 11 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;18;Resets 0 ;stepsInResetRuns 0;init
herman17_oneinit.pm();cautious1;2;TO;Resets: 15047 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;0;TO;Resets: 15739 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;4;TO;Resets: 16193 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;17;TO;Resets: 17595 visitNo: 1 candSize: 34

bluetooth_oneinit.pm(mrec=4);cautious1;0;Resets 9 ;stepsInResetRuns 4597;Resets: 9 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;1;Resets 0 ;stepsInResetRuns 0;init
bluetooth_oneinit.pm(mrec=4);cautious1;2;Resets 4 ;stepsInResetRuns 2068;Resets: 4 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious1;3;Resets 4 ;stepsInResetRuns 1748;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;10;Resets 4 ;stepsInResetRuns 5608;Resets: 4 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;11;Resets 3 ;stepsInResetRuns 4206;Resets: 3 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;14;Resets 5 ;stepsInResetRuns 7010;Resets: 5 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;15;Resets 8 ;stepsInResetRuns 11216;Resets: 8 visitNo: 1 candSize: 1

nand.pm(N=50,K=3);cautious1;17;Resets 4 ;stepsInResetRuns 5608;Resets: 4 visitNo: 1 candSize: 1

herman17_oneinit.pm();cautious1;1;TO;Resets: 15943 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;3;TO;Resets: 14680 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;8;TO;Resets: 16452 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;6;TO;Resets: 15988 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;9;Resets 2232 ;stepsInResetRuns 245527;Resets: 2232 visitNo: 1 candSize: 1

herman17_oneinit.pm();cautious1;5;TO;Resets: 15743 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;10;TO;Resets: 16142 visitNo: 1 candSize: 34

herman17_oneinit.pm();cautious1;7;TO;Resets: 14978 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;11;TO;Resets: 16290 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;12;TO;Resets: 16902 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;15;TO;Resets: 15169 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;14;TO;Resets: 14323 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;16;TO;Resets: 15243 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;13;TO;Resets: 15502 visitNo: 1 candSize: 34

gridworld.pm(N=50,p=0.999);cautious1;9;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;7;Resets 744 ;stepsInResetRuns 2243;Resets: 744 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;5;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;3;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;1;Resets 2 ;stepsInResetRuns 940;Resets: 2 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;19;Resets 8 ;stepsInResetRuns 4080;Resets: 8 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;17;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

herman17_oneinit.pm();cautious10;15;TO;Resets: 15698 visitNo: 10 candSize: 34

scale.pm(N=10,M=50);cautious1;17;Resets 11087 ;stepsInResetRuns 33538;Resets: 11087 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;19;TO;Resets: 17621 visitNo: 1 candSize: 34

scale.pm(N=10,M=50);cautious1;0;Resets 387 ;stepsInResetRuns 1151;Resets: 387 visitNo: 1 candSize: 2

herman17_oneinit.pm();cautious1;18;TO;Resets: 16461 visitNo: 1 candSize: 34

scale.pm(N=10,M=50);cautious1;1;Resets 3756 ;stepsInResetRuns 11277;Resets: 3756 visitNo: 1 candSize: 3

scale.pm(N=10,M=50);cautious1;2;Resets 637 ;stepsInResetRuns 1916;Resets: 637 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;6;Resets 2502 ;stepsInResetRuns 7493;Resets: 2502 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;15;Resets 2026 ;stepsInResetRuns 6206;Resets: 2026 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;4;Resets 84 ;stepsInResetRuns 245;Resets: 84 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;3;Resets 1439 ;stepsInResetRuns 4274;Resets: 1439 visitNo: 1 candSize: 3

scale.pm(N=10,M=50);cautious1;8;Resets 2841 ;stepsInResetRuns 8574;Resets: 2841 visitNo: 1 candSize: 3

scale.pm(N=10,M=50);cautious1;5;Resets 19 ;stepsInResetRuns 50;Resets: 19 visitNo: 1 candSize: 3

scale.pm(N=10,M=50);cautious1;9;Resets 1411 ;stepsInResetRuns 4342;Resets: 1411 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;10;Resets 851 ;stepsInResetRuns 2536;Resets: 851 visitNo: 1 candSize: 4

scale.pm(N=10,M=50);cautious1;18;Resets 300 ;stepsInResetRuns 913;Resets: 300 visitNo: 1 candSize: 5

gridworld.pm(N=50,p=0.999);cautious1;0;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;4;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;19;Resets 3 ;stepsInResetRuns 7;Resets: 3 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;2;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;13;Resets 884 ;stepsInResetRuns 2660;Resets: 884 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;12;Resets 370 ;stepsInResetRuns 1055;Resets: 370 visitNo: 1 candSize: 5

scale.pm(N=10,M=50);cautious1;14;Resets 1406 ;stepsInResetRuns 4157;Resets: 1406 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;1;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;3;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

scale.pm(N=10,M=50);cautious1;11;Resets 4165 ;stepsInResetRuns 12553;Resets: 4165 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;6;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;7;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;8;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;13;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 3

gridworld.pm(N=50,p=0.999);cautious1;18;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;16;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;2;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 1

gridworld.pm(N=50,p=0.999);cautious1;17;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;0;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 1

gridworld.pm(N=50,p=0.999);cautious1;11;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;10;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 2

gridworld.pm(N=50,p=0.999);cautious1;12;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 3

gridworld.pm(N=50,p=0.999);cautious1;19;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 3

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;1;Resets 4 ;stepsInResetRuns 360;Resets: 4 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;4;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;5;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;6;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;11;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;16;Resets 1 ;stepsInResetRuns 110;Resets: 1 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;14;Resets 0 ;stepsInResetRuns 0;Resets: 0 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;0;Resets 3 ;stepsInResetRuns 1762;Resets: 3 visitNo: 10 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;15;Resets 6 ;stepsInResetRuns 483;Resets: 6 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;18;Resets 2 ;stepsInResetRuns 185;Resets: 2 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;9;Resets 3 ;stepsInResetRuns 253;Resets: 3 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;8;Resets 1 ;stepsInResetRuns 91;Resets: 1 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;17;Resets 3 ;stepsInResetRuns 259;Resets: 3 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;10;Resets 1 ;stepsInResetRuns 58;Resets: 1 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;19;Resets 3 ;stepsInResetRuns 209;Resets: 3 visitNo: 1 candSize: 1

crowds_nodl.pm(TotalRuns=6,CrowdSize=15);cautious1;7;Resets 1 ;stepsInResetRuns 64;Resets: 1 visitNo: 1 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;2;Resets 6 ;stepsInResetRuns 3300;Resets: 6 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;3;Resets 9 ;stepsInResetRuns 4870;Resets: 9 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;4;Resets 3 ;stepsInResetRuns 1762;Resets: 3 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;9;Resets 2 ;stepsInResetRuns 1132;Resets: 2 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;14;Resets 2 ;stepsInResetRuns 1004;Resets: 2 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;12;Resets 2 ;stepsInResetRuns 876;Resets: 2 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;16;Resets 7 ;stepsInResetRuns 2938;Resets: 7 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;13;Resets 1 ;stepsInResetRuns 726;Resets: 1 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;18;Resets 4 ;stepsInResetRuns 1560;Resets: 4 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;7;Resets 3 ;stepsInResetRuns 1570;Resets: 3 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;6;Resets 4 ;stepsInResetRuns 2200;Resets: 4 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;15;Resets 2 ;stepsInResetRuns 972;Resets: 2 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;8;Resets 0 ;stepsInResetRuns 0;init
bluetooth_oneinit.pm(mrec=4);cautious10;17;Resets 3 ;stepsInResetRuns 1730;Resets: 3 visitNo: 10 candSize: 1

bluetooth_oneinit.pm(mrec=4);cautious10;5;Resets 4 ;stepsInResetRuns 1976;Resets: 4 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;0;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;1;Resets 6 ;stepsInResetRuns 8466;Resets: 6 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;2;Resets 3 ;stepsInResetRuns 4233;Resets: 3 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;7;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;12;Resets 2 ;stepsInResetRuns 2822;Resets: 2 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;10;Resets 10 ;stepsInResetRuns 14110;Resets: 10 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;14;Resets 3 ;stepsInResetRuns 4233;Resets: 3 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;11;Resets 16 ;stepsInResetRuns 22576;Resets: 16 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;16;Resets 8 ;stepsInResetRuns 11288;Resets: 8 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;5;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;13;Resets 2 ;stepsInResetRuns 2822;Resets: 2 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;4;Resets 2 ;stepsInResetRuns 2822;Resets: 2 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;15;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;6;Resets 19 ;stepsInResetRuns 26809;Resets: 19 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;3;Resets 3 ;stepsInResetRuns 4233;Resets: 3 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;18;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

nand.pm(N=50,K=3);cautious10;19;Resets 1 ;stepsInResetRuns 1411;Resets: 1 visitNo: 10 candSize: 1

herman17_oneinit.pm();cautious10;0;TO;Resets: 16064 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;5;TO;Resets: 14889 visitNo: 10 candSize: 33

herman17_oneinit.pm();cautious10;10;TO;Resets: 15962 visitNo: 10 candSize: 34

herman17_oneinit.pm();cautious10;12;TO;Resets: 16016 visitNo: 10 candSize: 34

